code,name,industry,area,pe,totals,outstanding,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
600571,信雅达,软件服务,浙江,95.41,20241.98,20241.98,118616.47,85226.75,4558.64,12731.33,0.63,0.325,3.21,12.87,20021101
002443,金洲管道,钢加工,浙江,64.82,48927.76,52053.55,280584.03,187782.31,26512.83,77365.81,1.49,0.109,3.67,2.58,20100706
002539,新都化工,农药化肥,四川,72.82,13613.01,33104,667557.75,222671.55,286136.75,128322.02,3.88,0.343,7.03,3.55,20110118
300100,双林股份,汽车服务,浙江,51.51,26700,39370.21,201049.13,102666.96,40800.81,30602.69,0.78,0.224,3.76,4.1,20100806
002520,日发精机,机床制造,浙江,147.01,20871,21600,106223.3,61928.26,19426.05,33697.78,1.56,0.183,3.05,11.73,20101210
300064,豫金刚石,矿物制品,河南,74.62,60575,60800,280027.53,107707.17,128059.1,37338.19,0.61,0.082,2.38,3.41,20100326
600409,三友化工,化工原料,河北,33.78,185038.55,185038.55,2011942.38,579232.94,1035485.81,236675.38,1.28,0.201,3.27,2.77,20030618
002055,得润电子,元器件,深圳,64.66,40294.92,41451.21,327430.19,228280.59,66772.6,41362.92,1,0.23,3.3,5.99,20060725
300398,飞凯材料,染料涂料,上海,62.9,2000,8000,81277.81,61452.86,7080.52,31700.68,3.96,1.08,7.77,9.1,20141009
600678,四川金顶,水泥,四川,0,34899,34899,36063.98,4304.33,17719.63,30535.36,0.87,-0.106,0.07,225.42,19931008
002110,三钢闽光,普钢,福建,0,53470,53470,867943.38,371473.91,429353.91,70618.5,1.32,-0.035,4.79,1.64,20070126
002383,合众思壮,通信设备,北京,0,10961.57,18720,176213.17,68957.3,20362.07,101063.28,5.4,-0.233,7.21,4.6,20100402
300134,大富科技,通信设备,深圳,30.25,35160,38400,346194.16,152209.94,87907.56,177358.16,4.62,1.395,6.69,6.3,20101026
002563,森马服饰,服饰,浙江,32.67,59649.19,67000,1052704.63,786631.19,170758.5,446571.09,6.67,1.002,12.06,3.62,20110311
